501,Sakura Clicker,2015,"Wanna hear how awsome this game is 'cause I can click on boobs and buy silly bikinis for real money?...Nö, I will not. Nothing of the game was created by own ideas, people who already played ""Clicker hero's"" will understand it. Just replace the monsters with kemonomimis; let a few things looks more cute and release it.I don't know why so many Idle games appear right away, but in Sakura Clickers it's obvious that the studio just wanted to get fast money with an errfotless game, just because they have bikinis for 1€ each.Everyone who spend money in such a game is very near on the definiton of the word ""Victim""",0,anger
502,Sakura Clicker,2015,"A great free-to-play experience for anyone as lonley as me....until you level up so much that the hawt Animu-women die before you get a chance to fap to them.( ͡° ͜ʖ ͡°)All though the game has no plot or context, the apperance of the Animu/Animal/Girl-hybrids are more than enough of a selling point for me (Which is saying something, since the game is free).My Nan also recomended it.",1,happiness
503,Sakura Clicker,2016,"I left my computer on to farm hours on this game while I was out, when I came back my parents asked me why there was moaning sounds coming from my headset, it was easier to say it was porn.",1,sadness
504,Sakura Clicker,2016,"Ok, probably one of the best clicker games I have played. Mostly because I am a hetrosexual male. So that is about it. And more moaning sounds than you can ever imagine. Also: Can some one help me figure out how to hide both that A. I gave money for a costume (it was worth it) and B. hide it so others can not tell that I play this game when writing papers during breaks.",1,happiness
505,Sakura Clicker,2015,Do you like beating the♥♥♥♥♥♥out of hot anime girls?WELL GREAT SAKURA CLICKER IS THE GAME FOR YOU!All you do is upgrade your slapping hand so you slap em' harderand slapp em' to deathAnd if you can use both your hands maybe you can get something else done ;DGame Rate 11/10,1,anger
506,Sakura Clicker,2015,"I feel so dirty when I play this. But yet, I keep doing so.As you can probably tell with the word ""Sakura"" in the title, this is an adult oriented game, like the rest of the titles on Steam with that word in the title.Specifically, Sakura Clicker is one of the dozens of idle clicker games on Steam, with this one replacing monsters with cute busy anime chicks in cosplay, who yell and moan in japanese when you damage them. Oh man if I was back to being twelive this would be my dream game honestly. However as an idle game, it still scratches an itch. The woman are pleasing to the eye, the backing track is catchy, and it does have the addictive nature of the clicker games. Kill enemies, farm gold, level yourself and your allies for damage until you hit a wall, reset for upgrades, repeat. Sadly no achievements yet, but the game is still worth playing. Just don't let anyone catch you doing so. ..Oh♥♥♥♥♥♥ my wife just walked in. Hey honey...",1,happiness
507,Sakura Clicker,2017,Sakura gameBoobs click click click  click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click click clickCRAMP!!,1,anger
508,Sakura Clicker,2015,"yeah alright so here is a quick guide on how to ""play"" this game the best way.1. Install an auto clicker2. Turn off all the sounds except for voices.3. Enable the autoclicker while in game & turn up volume.4. Occaisionally upgrade abilities.5. ???6. Profit.",1,happiness
509,Sakura Clicker,2015,"Health warning: prolonged playing sessions may result in pain in your forearm, including but not limited to strained thumb, middle and index finger muscles and/or tendons and in rare cases discomfort in your genital area. So please limit your clicking frequency and relieve yourself regularly!",1,sadness
510,Sakura Clicker,2016,"saka clicke is vry good game, with vry much of in dethpth gamepley, and vry good amine tiddies, i luv this gaem, it so sex that it make me vry gud harb gorgo frogodogo, babadabadoodoo",1,anger
511,Sakura Clicker,2016,pros:-scantily clad anime women-big breastededed scantily clad anime women-moaning big breastededed scantily clad anime womencons:-difficult to fap after playing a hard 30 minutes or so,1,anger
512,Sakura Clicker,2016,"To be brutally honest, as a human being, yes I found this game ""attractive."" But that's deep down in my genetic code. Listen her buddy ol pal, I enjoy women just as much as the next guy, but personally (emphasis on that word, by the way) I PERSONALLY do not like furries. But hey, I won't judge you for your preference.It's a good game where you're collecting oranges from dead women wearing thing clothes. So why do I not recommend it? Because it's just a copy paste of already successful games, except THIS PARTICULAR game has absurd in app purchases. But hey, people subscribe to Porn Hub, so who am I to judge?And yes, I reinstate, I am in no way against the idea of scantily clad women, but I just think there's kind of a limit to it.Also boobs. Essentially, if you were to ask anyone to summarize the game in one word it's boobs.Boobs. Boobs and women.Boobs and boobs.Moans.Boobs.I rest my case.",0,happiness
