review_id,title,year,user_review,user_suggestion,emotions
251,Spooky's Jump Scare Mansion,2015.0,"Early Access ReviewSo, I was all like, ""Aww, thats cute!"" Then, when I encountered the first 'Specimen' I was screaming and crying to my mom. And that was just the first out of 14. This game has it's cons, but the pros outweigh them by a lot.  PROS Interesting IdeaFalse sence of SafetyThose 'Why did I have to play this game?' MomentsSence of panic and Helplesness CONS No Graphics optionsNo Sensitivity optionsSome Over Powered SpeciminesOverall, I think this game is a good game, especially for an Early Access.Download. It. Now.9/10 ",1,fun
252,Spooky's Jump Scare Mansion,2017.0,"Very fun and actually terrifying game.  Got into it after watching Markiplier play it on You Tube.  My son and I love the premise and how campy the whole design of the game is.  However, the scares get serious and challenging real quick and you'll be jumping in your seat throughout the game, both from the cheap jumpscares and the terrible, terrible creatures that await you further into the mansion.  Not to mention all the land sharks.  This game should be a staple in every gamers collection.",1,hapiness
253,Spooky's Jump Scare Mansion,2015.0,"Early Access ReviewSo far, this has been an amazingly terrifying experience. I decided to take  break, due to the tension that's been growing in my chest. The tingling in my arm is getting hard to ignore. I would pay monies for it.But I didn't have to. (Thanks for that.)10/10.Seriously.",1,fear
254,Spooky's Jump Scare Mansion,2015.0,"Early Access ReviewI really was not impressed with the controlls of the game..... The concept is awesome, and I love the ""cutesy"" style to it, but the controls are just a massive turn off for me...I really wish they would have a setting to turn down the sensitivty of the mouse or some type of option to enable WASD for walking and mouse just for viewing up/down/left/right.    A lot of potential though",1,fear
255,Spooky's Jump Scare Mansion,2015.0,"Early Access ReviewAfter looking at the video I thought no way those paper cut outs will make me jump... I was wrongCan't complain about a free game, I played it and got free entertainment - definately worth a try.",1,happiness
256,Spooky's Jump Scare Mansion,2015.0,"Early Access ReviewI have been watching a friend of mine play this absolutely adorable (and sometimes terrifying!) game for a couple of days now, and I have to say that I am supremely jealous I can't play it right now. The graphics are definitely akin to those you probably saw in your childhood days when playing Doom, but the floating ghost, Spooky, and the randomly cute jump-scare plywood cut outs are really what make this game. It's positively adorable, with a perfect amount of terror thrown in, and has me ITCHING for the day that my PC is replaced so that I can play it. I can't wait to see how this game developes.- Graecyn K | PCGamerGirl.COM ",1,happiness
257,Spooky's Jump Scare Mansion,2015.0,"Early Access Review*note* Pay no attention to the time as i got this game when it was on indieDB and got pretty far before letting it collect dust while pursuing other games (and the fact i got as far as worth proceeding in version 1.2). Now for the review.I'm not really a person who could judge what is considered ""cute"". i guess the cardboard cutouts are a bit amusing. that said those same cutouts are made me jump more than once when they appear after just barely escaping an enemy that doesn't need to follow the path to catch you. So in that regard i guess you could call them scary too. i also like that it seems that the devs stopped throwing a cutout at you every other room (like how they were in the indieDB version i played). But outside of those ""enemies"", the actual enemies are terrifying and will definitely get your heart racing. on top of that if it's your first time playing they can catch you off guard as there's no rhyme or reason for some of their appearances. What i mean is that unlike other horror games (good ones that is) there is a build up to an enemies appearance and on some occasions the ""rules"" to win against said enemies are laid out. take for example the first resident evil, the first zombie encounter is built up using sound effects to create an uneasy feeling of not knowing what's in the room with you. following up on that the rules for winning are laid out as if you try to fight the first zombie A) you'll notice you use up almost all your ammo and B) that you'll take damage whereas avoiding it you'll notice things like you are faster and more agile than the zombies (well agile while using tank controls) so evasion is a preferred option when you can.That's not to say that how the enemies appear in SPHJ is bad in fact the opposite. the fact you don't know when you'll encounter a type of enemy or how to beat it without trying a few times against a new enemy adds it's own eeriness as you don't know what the next room holds for you. You have to constantly think on the fly and adapt even quicker.However this brings up an issue i have with the game, there's way too much luck involved. i'll give a good example, the first enemy you meet is pretty easy to figure out, just run. but that strategy will bite you in the rear when you come to the first ""catwalk"" room (that's what i call it at least, the room with the narrow walkways that split in multiple directions). If you just dead sprint you have a 50/50 chance of taking the wrong path and getting cornered and that enemy takes you out in 3 hits.There are other points like this as there's an enemy i saw in markipliers playthrough i've yet to encounter that seems to appear at random with no way to figure out what you did wrong (or right in my case as, again, i haven't encountered the red face enemy in any of my playthroughs). so like i said, this game takes alot of luck if you're going to get far (or just alot of patience till you get that lucky run).the other issue i have i'm not sure if it's an aesthetic choice to encourage players to keep calm or if it's just how the game happened to be made. the issue is that you have to press forward every time you enter a room. what i mean is that you can't just hold down the W key and keep moving as soon as you enter the next room. No, in each room you have to release the key and press it again to move. this is really annoying against the aforementioned first enemy as if you forget this you won't move (and take damage) till you remember to release the forward key and press it again. Like i said i'm not sure if it's intentional or not, if it's not then i hope the devs will work on this as it's basically a cheap beginner's trap. But other than those two issues i do really think this is a good horror game and can't wait to see what the full release is like.",1,fun
258,Spooky's Jump Scare Mansion,2015.0,"Early Access ReviewI want to preface my review by stating that I find this game to be fun even with the minimalist aspects of walking from one room or passage to another. The intrigue of what will be in the next room entertains me and leaves me with a sense of wonder. I keep feeling a voice in my head say, ""Just one more room..."" and so on as my character explores the mansion.I love the art design, and the cell-shaded look to it along with the cute ""cutouts"" that pop up in tight spaces here and there look very well done. I will have to say this though, there was a constant popping in the audio feed which made it a bit annoying to continue further in the game and it also took me at least ten tries before I could get past the warning screen and move ahead in the game without it crashing on me. I actually thought I was doing well, making it to the 75th room when I stopped to play a mockup of House of the Dead, and the game crashed on me yet again.I hope that they fix that bug as well as the audio bug that is still haunting this game because I think it has a lot of potential; I for one have to say how terrified I was of what happened in room 60 and beyond.For now, this game gets a 6/10. Pros:~ Great Art Design that looks great and brings me back to 1995 and Doom related games.~ While there are a lot of rooms that seem the same, there are subtle nuances that make them a bit different each time.~ The Jump scare moments, especially with the cute cut-outs actually got me. Kudos.~ Easy to get hooked.Cons:~ Audio bug that sounded like a bowl of Rice Krispies in my ears.~ Game is prone to crashing on the warning screen especially but anytime after that as well.~ No options section in the main menu except to teleport to different sections of the game (Room 50, 100, 150, etc.)",1,love
259,Spooky's Jump Scare Mansion,2015.0,"Early Access ReviewGreat game, the horror aspects are great, also like the Kuybei reference. Can you have it where you can use a controller, and the steam overlay while in the game. That would make it much better:) Cheers Michael",1,happiness
260,Spooky's Jump Scare Mansion,2015.0,"Early Access ReviewI've braved Amnesia, Condemned and Outlast, watched Sinister, Saw and many others with to no effect.Floor 13♥♥♥♥♥♥myself at a cute pumpkin, ctrl+alt+dlt donezo, goobye.Recommend decieving ages 10 and under + those who think it's cute at first. ",1,fun
